fid,latitude,longitude,LONGTITUDE
"761",40.69811,-73.93051,
"762",40.69899,-73.92286,
"763",40.6942,-73.92024,
"764",40.68297,-73.93804,
"765",40.70317,-73.92724,
"766",40.68774,-73.9155,
"767",40.68403,-73.92071,
"768",40.70041,-73.93957,
"769",40.68828,-73.92989,
"770",40.70684,-73.93854,
"771",40.70415,-73.92551,
"772",40.70675,-73.93909,
"773",40.70866,-73.90578,
"774",40.68412,-73.91045,
"775",40.70485,-73.93863,
"776",40.69683,-73.92372,
"777",40.69319,-73.92375,
"778",40.69464,-73.93369,
"779",40.67995,-73.90922,
"780",40.68785,-73.92782,
"781",40.70272,-73.93151,
"782",40.68582,-73.92963,
"783",40.69765,-73.93334,
"784",40.68651,-73.933,
"785",40.68435,-73.93806,
"786",40.70093,-73.92375,
"787",40.69588,-73.93384,
"788",40.68929,-73.90484,
"789",40.70548,-73.91776,
"790",40.69246,-73.91909,
"791",40.67924,-73.9405,
"792",40.69818,-73.91356,
"793",40.70464,-73.91596,
"794",40.68538,-73.92447,
"795",40.68754,-73.92522,
"796",40.68782,-73.935,
"797",40.69649,-73.93645,
"798",40.69622,-73.93394,
"799",40.7005,-73.91816,
"800",40.69197,-73.93193,
"801",40.70735,-73.90696,
"802",40.70909,-73.9256,
"803",40.70403,-73.91276,
"804",40.68992,-73.91408,
"805",40.70174,-73.92662,
"806",40.68398,-73.94101,
"807",40.69169,-73.93142,
"808",40.70794,-73.93976,
"809",40.69508,-73.91053,
"810",40.68396,-73.92872,
"811",40.70055,-73.92193,
"812",40.68833,-73.91676,
"813",40.70178,-73.92829,
"814",40.68247,-73.94119,
"815",40.69143,-73.93436,
"816",40.70068,-73.94103,
"817",40.69927,-73.92133,
"818",40.68148,-73.93145,
"819",40.69496,-73.93088,
"820",40.69644,-73.92707,
"821",40.67988,-73.92831,
"822",40.70647,-73.92093,
"823",40.70222,-73.93294,
"824",40.68618,-73.93273,
"825",40.70275,-73.93445,
"826",40.68906,-73.93751,
"827",40.70414,-73.93408,
"828",40.70891,-73.94161,
"829",40.70414,-73.92888,
"830",40.68558,-73.9281,
"831",40.69696,-73.93433,
"832",40.69127,-73.93983,
"833",40.69593,-73.92057,
"834",40.68949,-73.91191,
"835",40.68544,-73.93872,
"836",40.69141,-73.934,
"837",40.70512,-73.92187,
"838",40.68496,-73.91107,
"839",40.70192,-73.92928,
"840",40.69095,-73.92386,
"841",40.68338,-73.92072,
"842",40.70889,-73.94113,
"843",40.68366,-73.9247,
"844",40.70461,-73.93845,
"845",40.68902,-73.9156,
"846",40.69962,-73.90439,
"847",40.69574,-73.9286,
"848",40.70189,-73.92872,
"849",40.68268,-73.92825,
"850",40.68317,-73.91432,
"851",40.68248,-73.92811,
"852",40.6884,-73.9305,
"853",40.70036,-73.91723,
"854",40.68716,-73.9243,
"855",40.69589,-73.93232,
"856",40.69025,-73.9303,
"857",40.68022,-73.92795,
"858",40.70442,-73.92484,
"859",40.69351,-73.94011,
"860",40.68599,-73.9394,
"861",40.70005,-73.91882,
"862",40.67982,-73.91347,
"863",40.69461,-73.93406,
"864",40.7088,-73.93983,
"865",40.69845,-73.93495,
"866",40.68266,-73.91819,
"867",40.68647,-73.92494,
"868",40.68053,-73.90879,
"869",40.69866,-73.92498,
"870",40.68528,-73.91573,
"871",40.70068,-73.91621,
"872",40.70326,-73.91822,
"873",40.70249,-73.91904,
"874",40.70468,-73.91935,
"875",40.70387,-73.91665,
"876",40.70233,-73.9175,
"877",40.70619,-73.9191,
"878",40.70468,-73.91683,
"879",40.70153,-73.93064,
"880",40.70694,-73.93246,
"881",40.6808,-73.93092,
"882",40.68741,-73.92622,
"883",40.70866,-73.94122,
"884",40.70126,-73.918,
"885",40.6891,-73.93926,
"886",40.70492,-73.93832,
"887",40.69588,-73.93944,
"888",40.69457,-73.93889,
"889",40.6898,-73.92989,
"890",40.68506,-73.93867,
"891",40.69994,-73.92176,
"892",40.69533,-73.92053,
"893",40.6869,-73.93074,
"894",40.68372,-73.91994,
"895",40.69919,-73.93818,
"896",40.70098,-73.92674,
"897",40.6796,-73.93022,
"898",40.68179,-73.92947,
"899",40.69559,-73.92783,
"900",40.68279,-73.92135,
"901",40.67973,-73.93058,
"902",40.69881,-73.93057,
"903",40.70649,-73.92954,
"904",40.68432,-73.93227,
"905",40.69398,-73.9338,
"906",40.70335,-73.92891,
"907",40.68935,-73.9127,
"908",40.70158,-73.92724,
"909",40.70227,-73.92362,
"910",40.68625,-73.93003,
"911",40.69312,-73.9236,
"912",40.7076,-73.94072,
"913",40.69758,-73.93417,
"914",40.70011,-73.92119,
"915",40.68929,-73.93079,
"916",40.68917,-73.92901,
"917",40.69003,-73.93085,
"918",40.69022,-73.93077,
"919",40.68927,-73.93035,
"920",40.69702,-73.93167,
"921",40.7052,-73.91549,
"922",40.69132,-73.93866,
"923",40.69955,-73.92225,
"924",40.69715,-73.92865,
"925",40.70343,-73.92538,
"926",40.684,-73.93227,
"927",40.70111,-73.92935,
