fid,LATITUDE,LONGITUDE
"192","40.6958834807316","-73.9522678806869"
"193","40.6964651627246","-73.9420051921934"
"194","40.6967227854604","-73.9425339324084"
"195","40.6963885841894","-73.9429114960002"
"196","40.6966283621255","-73.9434335575749"
"197","40.6981676690545","-73.9423366072784"
"198","40.6977882088143","-73.942748729861"
"199","40.6974650022392","-73.9464239267646"
"200","40.6974890368096","-73.9453643930761"
"201","40.6978661342212","-73.9453239091985"
"202","40.6977934913691","-73.944119558772"
"203","40.6971336509458","-73.9445053306123"
"204","40.6971238849327","-73.9440701134966"
"205","40.6964628149826","-73.9438555292058"
"206","40.6962310469468","-73.9451092293678"
"207","40.6963941466714","-73.9451559645116"
"208","40.6961170911479","-73.9461933992132"
"209","40.6968372571073","-73.9458283831527"
"210","40.6968731355929","-73.9462669259502"
"211","40.673284989107","-73.9366065164134"
"212","40.6729151765196","-73.9376833037005"
"213","40.6733901057667","-73.9386875840905"
"214","40.673981923661","-73.9386321672676"
"215","40.6743471738462","-73.9375499848183"
"216","40.6738676035482","-73.9365460147708"
"217","40.6750956166958","-73.9381508647761"
"218","40.6750191105007","-73.9374939048228"
"219","40.6750231707439","-73.9368258324241"
"220","40.6709177785312","-73.9246866375402"
"221","40.6739953967605","-73.9231307169994"
"222","40.6739867300003","-73.9229527104201"
"223","40.6721850240051","-73.9232117408723"
"224","40.6717255965813","-73.9233837434806"
"225","40.6717169759009","-73.9232242795738"
"226","40.6717087069385","-73.9230713060442"
"227","40.6717058218509","-73.9228966743607"
"228","40.6704182315284","-73.9222668191188"
"229","40.6708983913437","-73.9222233452028"
"230","40.6708826263996","-73.9222252452634"
"231","40.6708668614561","-73.9222271465058"
"232","40.6708484573615","-73.9222254364931"
"233","40.670829915388","-73.9222275751472"
"234","40.6708062677345","-73.9222300745634"
"235","40.6707868464322","-73.9222315838617"
"236","40.6707693801507","-73.9222344273291"
"237","40.6707481501405","-73.9222365702948"
"238","40.6707262552276","-73.9222395691251"
"239","40.6706981727214","-73.9222410140063"
"240","40.6706670457668","-73.9222440803652"
"241","40.6706329895662","-73.9222473417328"
"242","40.6706032057563","-73.9222511125892"
"243","40.6705749440062","-73.9222524973546"
"244","40.6705450642597","-73.922252890541"
"245","40.6705227387121","-73.9222569448224"
"246","40.6704968287651","-73.9222591535452"
"247","40.6704714405775","-73.9222632291312"
"248","40.6704464713088","-73.9222649045418"
"249","40.6703880947047","-73.9222692420969"
"250","40.6703636388083","-73.9222710339914"
"251","40.6703314811255","-73.9222733067535"
"252","40.6708528914405","-73.9219912555023"
"253","40.6708528697371","-73.9219592540257"
"254","40.67084997913","-73.9219234901903"
"255","40.6708500801784","-73.9218932578911"
"256","40.6708493422772","-73.9218621986844"
"257","40.670846811964","-73.9218292587205"
"258","40.6751015525766","-73.9274445488941"
"259","40.6753818295229","-73.9274212353501"
"260","40.6759150021256","-73.9273543443653"
"261","40.6761920992142","-73.9273408638304"
"262","40.6755239565009","-73.9270730751779"
"263","40.675734163563","-73.9270571568368"
"264","40.675050871926","-73.9265072539932"
"265","40.6753317872183","-73.9264868632035"
"266","40.6758610819068","-73.9264344286718"
"267","40.6761324369839","-73.9264065182108"
"268","40.6750596287431","-73.9260158026209"
"269","40.6753367157064","-73.9259853745726"
"270","40.6758026773378","-73.9259489468263"
"271","40.6760797626424","-73.9259160082765"
"272","40.6750028872478","-73.9256441789175"
"273","40.6752818898745","-73.9256212767836"
"274","40.6758171308548","-73.9255613831331"
"275","40.6760923132792","-73.925540995708"
"276","40.6750152988856","-73.9251536722645"
"277","40.67529047383","-73.9251232428009"
"278","40.6757546004093","-73.9250750814177"
"279","40.6760336019967","-73.9250521766458"
"280","40.674892359035","-73.923454148235"
