fid,ID,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,birth year,gender
"134","320",2020/7/6 0:30,2020/7/6 0:44,"442",W 27 St & 7 Ave,40.746647,-73.993915,1 Ave & E 44 St,40.75001986,-73.96905301,"1974","1"
"135","321",2020/7/6 0:30,2020/7/6 0:38,"3707",Lexington Ave & E 26 St,40.741459,-73.983293,W 22 St & 10 Ave,40.74691959,-74.00451887,"1991","1"
"136","325",2020/7/6 0:31,2020/7/6 0:38,"453",W 22 St & 8 Ave,40.74475148,-73.99915362,E 25 St & 2 Ave,40.73912601,-73.97973776,"1996","1"
"137","329",2020/7/6 0:31,2020/7/6 0:47,"3711",E 13 St & Avenue A,40.72966729,-73.98067966,Lafayette St & Jersey St,40.72456089,-73.99565293,"1989","2"
"138","330",2020/7/6 0:31,2020/7/6 0:53,"319",Fulton St & Broadway,40.711066,-74.009447,E 9 St & Avenue C,40.72521311,-73.97768752,"1988","1"
"139","335",2020/7/6 0:31,2020/7/6 1:24,"369",Washington Pl & 6 Ave,40.73224119,-74.00026394,W 110 St & Amsterdam Ave,40.802692,-73.96295,"1996","1"
"140","341",2020/7/6 0:32,2020/7/6 0:54,"367",E 53 St & Lexington Ave,40.75828065,-73.97069431,W 15 St & 7 Ave,40.73935542,-73.99931783,"1979","1"
"142","343",2020/7/6 0:32,2020/7/6 1:01,"268",Howard St & Centre St,40.71910537,-73.99973337,Broadway & W 60 St,40.76915505,-73.98191841,"1995","1"
"143","345",2020/7/6 0:32,2020/7/6 1:17,"195",Liberty St & Broadway,40.70905623,-74.01043382,W 35 St & Dyer Ave,40.75469175,-73.99740189,"1969","0"
"144","348",2020/7/6 0:33,2020/7/6 0:43,"3093",N 6 St & Bedford Ave,40.71745169,-73.95850939,Scholes St & Manhattan Ave,40.70870368,-73.9448625,"1987","1"
"145","349",2020/7/6 0:33,2020/7/6 0:38,"3553",Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Mt Morris Park W & W 120 St,40.804038,-73.945925,"1991","1"
"146","350",2020/7/6 0:33,2020/7/6 0:38,"3065",Union Ave & Wallabout St,40.70029511,-73.95032283,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,"2002","1"
"147","352",2020/7/6 0:33,2020/7/6 0:49,"324",DeKalb Ave & Hudson Ave,40.689888,-73.981013,Forsyth St & Canal St,40.7158155,-73.99422366,"1989","2"
"148","359",2020/7/6 0:34,2020/7/6 1:18,"486",Broadway & W 29 St,40.7462009,-73.98855723,W 18 St & 6 Ave,40.73971301,-73.99456405,"1988","1"
"150","361",2020/7/6 0:34,2020/7/6 0:53,"250",Lafayette St & Jersey St,40.72456089,-73.99565293,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,"1984","1"
"151","367",2020/7/6 0:35,2020/7/6 0:57,"3107",Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Cambridge Pl & Gates Ave,40.68488,-73.96304,"1979","1"
"152","368",2020/7/6 0:35,2020/7/6 0:51,"3526",31 St & 23 Ave,40.7747878,-73.9125551,38 Ave & 29 St,40.75473,-73.93367,"1996","1"
"153","369",2020/7/6 0:35,2020/7/6 0:52,"335",Washington Pl & Broadway,40.72903917,-73.99404649,St James Pl & Pearl St,40.71117416,-74.00016545,"1969","0"
"155","379",2020/7/6 0:35,2020/7/6 1:10,"3403",4 Ave & 9 St,40.6705135,-73.98876585,Kent Ave & S 11 St,40.70764494,-73.96841526,"1994","1"
"156","384",2020/7/6 0:36,2020/7/6 2:51,"447",8 Ave & W 52 St,40.76370739,-73.9851615,W 56 St & 10 Ave,40.768254,-73.988639,"1969","0"
"157","387",2020/7/6 0:36,2020/7/6 0:44,"399",Lafayette Ave & St James Pl,40.68851534,-73.9647628,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,"1998","0"
"158","392",2020/7/6 0:37,2020/7/6 0:49,"3637",Fulton St & Waverly Ave,40.68323865,-73.96599591,Prospect Park West & 8 St,40.66514682,-73.97637606,"1977","1"
"159","399",2020/7/6 0:38,2020/7/6 1:11,"305",E 58 St & 3 Ave,40.76095756,-73.96724467,E 2 St & Avenue C,40.7208736,-73.98085795,"1987","1"
"160","400",2020/7/6 0:38,2020/7/6 0:40,"3572",34 Ave & 38 St,40.756913,-73.921631,35 St & Broadway,40.760339,-73.9222427,"1980","1"
"161","401",2020/7/6 0:38,2020/7/6 1:14,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,"1969","0"
"162","402",2020/7/6 0:38,2020/7/6 1:11,"305",E 58 St & 3 Ave,40.76095756,-73.96724467,E 2 St & Avenue C,40.7208736,-73.98085795,"1985","2"
"163","403",2020/7/6 0:38,2020/7/6 1:14,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,"1969","0"
"164","406",2020/7/6 0:38,2020/7/6 0:50,"3126",44 Dr & Jackson Ave,40.74718234,-73.9432635,31 Ave & 14 St,40.7682,-73.9322662,"1972","2"
"165","412",2020/7/6 0:39,2020/7/6 1:08,"3414",Bergen St & Flatbush Ave,40.68094472,-73.97567332,Leonard St & Maujer St,40.71036854,-73.94705951,"1998","1"
"166","415",2020/7/6 0:39,2020/7/6 0:50,"3175",W 70 St & Amsterdam Ave,40.77748046,-73.98288594,Central Park West & W 102 St,40.795346,-73.96186,"1969","0"
